"jjj","margin","n","true_es","scale","equiv","hdi","bf","tost"
924,0.3,500,0.25,0.707106781186547,0.19312,0.19328,0.19376,0.1928
925,0.1,50,0.26,0.707106781186547,0.02628,0.0260483354673496,0.02572,0
926,0.2,50,0.26,0.707106781186547,0.03744,0.0359314980793854,0.03692,0
927,0.3,50,0.26,0.707106781186547,0.06896,0.065460947503201,0.06544,0.00204
928,0.1,100,0.26,0.707106781186547,0.01252,0.0122888479705388,0.01132,0
929,0.2,100,0.26,0.707106781186547,0.02676,0.0275398286766472,0.02632,0
930,0.3,100,0.26,0.707106781186547,0.08436,0.0799375550396285,0.08028,0.0746
931,0.1,250,0.26,0.707106781186547,0.00144,0.00160038409218212,0.00164,0
932,0.2,250,0.26,0.707106781186547,0.01124,0.0114427462591022,0.0114,0.01072
933,0.3,250,0.26,0.707106781186547,0.11456,0.114827558614067,0.116,0.11408
934,0.1,500,0.26,0.707106781186547,8e-05,8.00032001280051e-05,8e-05,0
935,0.2,500,0.26,0.707106781186547,0.00432,0.00432017280691228,0.00452,0.00428
936,0.3,500,0.26,0.707106781186547,0.15416,0.153966158646346,0.15396,0.15372
937,0.1,50,0.27,0.707106781186547,0.02348,0.024968988835981,0.024,0
938,0.2,50,0.27,0.707106781186547,0.03596,0.0343723740546597,0.0344,0
939,0.3,50,0.27,0.707106781186547,0.06488,0.0615421551758633,0.06108,0.00172
940,0.1,100,0.27,0.707106781186547,0.01108,0.010803457106274,0.00972,0
941,0.2,100,0.27,0.707106781186547,0.02236,0.0231674135723431,0.02184,4e-05
942,0.3,100,0.27,0.707106781186547,0.07452,0.0713028169014085,0.0714,0.06712
943,0.1,250,0.27,0.707106781186547,0.00088,0.000800224062737567,8e-04,0
944,0.2,250,0.27,0.707106781186547,0.00876,0.00876245348697635,0.00892,0.00808
945,0.3,250,0.27,0.707106781186547,0.09588,0.0959868763253711,0.09676,0.09556
946,0.1,500,0.27,0.707106781186547,4e-05,0,8e-05,0
947,0.2,500,0.27,0.707106781186547,0.00256,0.00256,0.00256,0.00256
948,0.3,500,0.27,0.707106781186547,0.11784,0.1178,0.11772,0.1174
949,0.1,50,0.28,0.707106781186547,0.02192,0.0222071062740077,0.02192,0
950,0.2,50,0.28,0.707106781186547,0.03236,0.0310499359795134,0.03184,0
951,0.3,50,0.28,0.707106781186547,0.0616,0.0577784891165173,0.05616,0.0016
952,0.1,100,0.28,0.707106781186547,0.00896,0.00920552331398839,0.00856,0
953,0.2,100,0.28,0.707106781186547,0.01936,0.0199719831899139,0.01884,0
954,0.3,100,0.28,0.707106781186547,0.06708,0.0636782069241545,0.06388,0.06012
955,0.1,250,0.28,0.707106781186547,0.00048,0.000640076809217106,6e-04,0
956,0.2,250,0.28,0.707106781186547,0.00608,0.00628075369044285,0.0062,0.00564
957,0.3,250,0.28,0.707106781186547,0.07664,0.0770492459095091,0.07744,0.0762
958,0.1,500,0.28,0.707106781186547,4e-05,4e-05,4e-05,0
959,0.2,500,0.28,0.707106781186547,0.00152,0.00152,0.00152,0.00152
960,0.3,500,0.28,0.707106781186547,0.08944,0.08956,0.08988,0.08928
961,0.1,50,0.29,0.707106781186547,0.01992,0.0214442888577716,0.02112,0
962,0.2,50,0.29,0.707106781186547,0.02972,0.0293258651730346,0.02956,0
963,0.3,50,0.29,0.707106781186547,0.05752,0.0543308661732346,0.05332,0.00108
964,0.1,100,0.29,0.707106781186547,0.00672,0.00692554043234588,0.00752,0
965,0.2,100,0.29,0.707106781186547,0.01652,0.016693354683747,0.01588,0
966,0.3,100,0.29,0.707106781186547,0.05976,0.0566453162530024,0.05692,0.0524
967,0.1,250,0.29,0.707106781186547,0.00044,0.000360057609217475,0.00032,0
968,0.2,250,0.29,0.707106781186547,0.00416,0.00428068490958553,0.0042,0.00392
969,0.3,250,0.29,0.707106781186547,0.0612,0.0614498319731157,0.06188,0.06092
970,0.1,500,0.29,0.707106781186547,4e-05,4e-05,4e-05,0
971,0.2,500,0.29,0.707106781186547,0.00088,0.00088,0.00088,0.00088
972,0.3,500,0.29,0.707106781186547,0.06696,0.06696,0.0672,0.0668
973,0.1,50,0.3,0.707106781186547,0.019,0.0197639527905581,0.01908,0
974,0.2,50,0.3,0.707106781186547,0.02752,0.0275655131026205,0.02824,0
975,0.3,50,0.3,0.707106781186547,0.05196,0.0500100020004001,0.05,0.00096
976,0.1,100,0.3,0.707106781186547,0.00612,0.00600288138306387,0.00612,0
977,0.2,100,0.3,0.707106781186547,0.01304,0.0139266848087082,0.0142,0
978,0.3,100,0.3,0.707106781186547,0.05252,0.0499839923163118,0.05,0.04644
979,0.1,250,0.3,0.707106781186547,0.00024,0.000240057613827319,0.00012,0
980,0.2,250,0.3,0.707106781186547,0.00296,0.00300072017284148,0.00292,0.00272
981,0.3,250,0.3,0.707106781186547,0.04996,0.0500120028806914,0.05,0.04964
982,0.1,500,0.3,0.707106781186547,0,0,0,0
983,0.2,500,0.3,0.707106781186547,0.00052,0.00052,0.00052,0.00052
984,0.3,500,0.3,0.707106781186547,0.04992,0.05,0.05,0.04972
985,0.1,50,0.31,0.707106781186547,0.01748,0.0180836167233447,0.0178,0
986,0.2,50,0.31,0.707106781186547,0.02544,0.0258451690338068,0.02508,0
987,0.3,50,0.31,0.707106781186547,0.04812,0.0461692338467694,0.04604,0.001
988,0.1,100,0.31,0.707106781186547,0.00548,0.00560336201721033,0.0054,0
989,0.2,100,0.31,0.707106781186547,0.01148,0.0123674204522714,0.01224,0
990,0.3,100,0.31,0.707106781186547,0.04564,0.0431458875325195,0.04356,0.03972
991,0.1,250,0.31,0.707106781186547,0.00012,0.000120004800192008,0.00016,0
992,0.2,250,0.31,0.707106781186547,0.00196,0.00196007840313613,0.002,0.00176
993,0.3,250,0.31,0.707106781186547,0.03948,0.0396815872634905,0.03972,0.03924
994,0.1,500,0.31,0.707106781186547,0,0,0,0
995,0.2,500,0.31,0.707106781186547,0.00028,0.00028,0.00028,0.00028
996,0.3,500,0.31,0.707106781186547,0.03584,0.0358,0.03568,0.03564
997,0.1,50,0.32,0.707106781186547,0.01572,0.0160051216389245,0.01544,0
998,0.2,50,0.32,0.707106781186547,0.02276,0.0224071702944942,0.02376,0
999,0.3,50,0.32,0.707106781186547,0.04488,0.0434939180537772,0.04336,0.00076
1000,0.1,100,0.32,0.707106781186547,0.00464,0.00532276783927642,0.00488,0
1001,0.2,100,0.32,0.707106781186547,0.01048,0.0106455356785528,0.01096,0
1002,0.3,100,0.32,0.707106781186547,0.0382,0.0360587505502862,0.03616,0.03352
1003,0.1,250,0.32,0.707106781186547,0.00024,0.000240028803456415,0.00012,0
1004,0.2,250,0.32,0.707106781186547,0.0012,0.00124014881785814,0.0012,0.00108
1005,0.3,250,0.32,0.707106781186547,0.03108,0.0310837300476057,0.03164,0.03104
1006,0.1,500,0.32,0.707106781186547,0,0,0,0
1007,0.2,500,0.32,0.707106781186547,0.00024,0.00024,0.00024,0.00024
1008,0.3,500,0.32,0.707106781186547,0.0248,0.0248,0.02488,0.02468
1009,0.1,50,0.33,0.707106781186547,0.01428,0.0145652434876556,0.01448,0
1010,0.2,50,0.33,0.707106781186547,0.0214,0.0206874474810932,0.0214,0
